param_offset,param_seed,param_n_estimators,mean_test_score,std_test_score
0.5,1374,200,0.5266655384173509,0.02026419752807374
0.5,1248,200,0.5264850149265559,0.023548158973942027
0.5,1430,250,0.5262976880895287,0.023903760085281486
0.5,1346,300,0.5262332165065591,0.018156267524373076
0.5,1353,250,0.5261460162066451,0.021037574132798522
0.5,1423,150,0.5259870389939663,0.01230572745376878
0.5,1388,50,0.5259470554475716,0.0153447571550562
0.5,1416,200,0.5258296793385521,0.02575594947838611
0.5,1374,300,0.5257604879605716,0.022586459149981787
0.5,1234,250,0.5255479144799987,0.02285644601938162
0.5,1297,100,0.525424638722555,0.024740316378648725
0.5,1346,200,0.525238173548684,0.021709821571637113
0.5,1311,300,0.5250936344658408,0.01676496894830866
0.5,1395,50,0.5250123540765305,0.02891589088862722
0.5,1318,300,0.5248969962393566,0.021924558686165375
0.5,1255,50,0.5248923293341555,0.013521653112669556
0.5,1430,200,0.5248847266268031,0.026017440347625622
0.5,1346,250,0.5247120149392325,0.021858997144492784
0.5,1318,250,0.5243763074253843,0.027389185219892233
0.5,1416,250,0.5243673961695626,0.022929041205897234
0.5,1360,250,0.5238652017456886,0.0215041879629411
0.5,1430,50,0.5237919628198494,0.03233976707854903
0.5,1234,300,0.5229395433115798,0.021427059296588186
0.5,1262,50,0.5226924771607491,0.031205474752573212
0.5,1311,200,0.5218482542312545,0.028057673902470725
0.5,1290,150,0.5215868923160241,0.013842503939658992
0.5,1311,100,0.5215663442515156,0.013341687129646241
0.5,1360,200,0.5212728683014014,0.011635267916199999
0.5,1353,150,0.5210537038403544,0.019873029468742896
0.5,1325,300,0.5207822230815038,0.018952758828329058
0.5,1325,250,0.5206890362333401,0.020173487378114474
0.5,1283,300,0.5205053389675711,0.026172815840182082
0.5,1353,200,0.5201978329612423,0.01849672666945162
0.5,1339,300,0.5200243504942181,0.01802059524361028
0.5,1360,300,0.5198507778093198,0.015816981080712396
0.5,1360,150,0.5197960403687356,0.018308225536697698
0.5,1234,200,0.5196820670316649,0.018068580962973084
0.5,1318,200,0.5196572633553552,0.02252410315044682
0.5,1304,300,0.5196055673913367,0.03147297966966399
0.5,1339,250,0.5190482035706421,0.026097994454902247
0.5,1241,50,0.5188185958924234,0.04876217393505506
0.5,1311,150,0.518708038851301,0.02402248944032787
0.5,1353,25,0.5179687910242594,0.03578356750297776
0.5,1430,100,0.517819005625211,0.0241261851115777
0.5,1269,100,0.5175754451029319,0.022441851437053132
0.5,1402,50,0.5174247683926291,0.03827899412182537
0.5,1367,100,0.5172863115289792,0.04270943248917419
0.5,1339,200,0.5170564876141379,0.019974584387117744
0.5,1423,25,0.5164843580817792,0.023879350508443895
0.5,1353,100,0.5162616065476096,0.016725919520141474
0.5,1276,300,0.5157365551339117,0.02962516893779732
0.5,1283,150,0.5155444389434993,0.023267304231082794
0.5,1332,150,0.5154292891696866,0.014610913891697103
