param_offset,param_seed,param_n_estimators,mean_test_score,std_test_score
0.5,1318,250,0.5248979060890389,0.01655401679261836
0.5,1360,250,0.52484912870627,0.018270465324226427
0.5,1346,150,0.5243536950079756,0.01821511208969696
0.5,1430,250,0.5240455637282218,0.02687230482148769
0.5,1360,100,0.5237325597222686,0.021275456827312345
0.5,1388,150,0.5237142593304726,0.01912599406346804
0.5,1374,25,0.5236738151431736,0.028733216653466485
0.5,1290,50,0.5235908710433806,0.030581168714873617
0.5,1269,200,0.5235245075798989,0.02040260972068141
0.5,1430,200,0.5234793914692143,0.024202273024941042
0.5,1269,250,0.5234263829806395,0.014816214602828724
0.5,1388,100,0.5231086652362745,0.022396525318288667
0.5,1276,300,0.5229471327176942,0.012718415715014012
0.5,1353,200,0.5225899126702416,0.014644244110461196
0.5,1353,100,0.522581816659641,0.011847932416263966
0.5,1311,100,0.5221958066831736,0.04041608562466886
0.5,1332,300,0.5221655080747926,0.021685664174438214
0.5,1311,150,0.5218428191284408,0.028598685732605718
0.5,1318,300,0.5213894216441829,0.018662972895385512
0.5,1346,200,0.521310782245761,0.01784669120180092
0.5,1423,100,0.5209167877278962,0.015306427451910307
0.5,1416,250,0.5207192379431451,0.02696255295869953
0.5,1283,200,0.5205402727021533,0.03017939675836865
0.5,1276,250,0.5205286112164773,0.01946537590810689
0.5,1430,300,0.5204269753477174,0.02113915810022884
0.5,1416,200,0.5200917798679421,0.02689597152853808
0.5,1374,50,0.5199576774950844,0.014218925978610106
0.5,1241,100,0.5198986859957679,0.02275485454622011
0.5,1304,200,0.5193642023555105,0.017110883210690653
0.5,1283,250,0.5191128477126028,0.031982203608922496
0.5,1437,25,0.518928854013671,0.031601877739958394
0.5,1304,300,0.5182860380870655,0.021423427388346194
0.5,1241,150,0.5177517049166807,0.03001035299464123
0.5,1346,250,0.5172617861031755,0.0223808939080161
0.5,1234,300,0.5170770210647253,0.016499888225255735
0.5,1255,50,0.5170330842855231,0.022366556489751364
0.5,1346,100,0.5170123132807734,0.02719661137558382
0.5,1360,50,0.5169636331235002,0.018304534698028375
0.5,1339,300,0.5169408268757044,0.011578267748035996
0.5,1409,100,0.5167952865232845,0.0233260958497572
0.5,1234,250,0.5167851538772277,0.021361330593501787
0.5,1248,50,0.516727433428058,0.027674097693207746
0.5,1332,250,0.5166743817416444,0.011356461480341636
0.5,1423,150,0.5165756981973586,0.015570658108599495
0.5,1402,50,0.5165111391818943,0.03758485307460027
0.5,1325,300,0.5164329989753187,0.014495848835825421
0.5,1402,150,0.5154077708449373,0.028300208530492463
0.5,1297,50,0.5147842078275613,0.039021365589549446
0.5,1241,300,0.5146678764801348,0.030167971024540052
0.5,1241,200,0.5145841927640795,0.02469808204591237
0.5,1241,50,0.5145204695594481,0.027373701910550656
0.5,1276,200,0.5144195611895082,0.023977711286319925
0.5,1318,200,0.5142972197728026,0.018389519051220393
0.5,1248,100,0.514083832667672,0.02819166070046298
0.5,1234,200,0.513824011361226,0.017249351446726353
0.5,1304,150,0.513122862588096,0.0156541231191078
0.5,1381,300,0.5129310888366526,0.02000107733212836
0.5,1367,100,0.5127276156717909,0.011204292779052705
0.5,1304,100,0.512694137213203,0.02877937136828569
0.5,1423,50,0.5123285528525807,0.011800390730109304
0.5,1332,25,0.5119119779142999,0.018355062905046626
0.5,1276,100,0.5119045975455242,0.017245172043089754
0.5,1304,250,0.5118729147901245,0.022719800245982295
0.5,1248,200,0.5117656542601937,0.019339102592895913
0.5,1339,250,0.5112513467373919,0.016615440302276522
0.5,1269,100,0.5112191959545215,0.012497873711168847
0.5,1318,150,0.5106546838813075,0.018363331725120995
0.5,1325,250,0.510300035057643,0.012339833816135673
0.5,1325,150,0.5092728957392973,0.013274354378763644
0.5,1241,250,0.5089624666934432,0.024599457746374943
0.5,1283,150,0.508873785365441,0.025292418613980454
0.5,1381,250,0.5088620299742055,0.01862888551387915
0.5,1325,200,0.5081949934123846,0.01510330045566234
0.5,1269,50,0.5080879855762779,0.017466173451310737
0.5,1332,200,0.5076865746339181,0.021839557293788683
0.5,1234,150,0.5073023603109845,0.0193967121475539
0.5,1332,100,0.5071876434068993,0.016416899682671356
0.5,1248,150,0.5069970309762807,0.01721535532808474
0.5,1325,25,0.5068613610470779,0.05018570570422323
0.5,1304,50,0.5068540034227864,0.015544703125540054
