offset,seed,n_estimators,avg_f1
0.5,1346,150,0.5266723290034433
0.5,1374,200,0.5266655384173509
0.5,1248,200,0.5264850149265559
0.5,1430,250,0.5262976880895287
0.5,1346,300,0.5262332165065591
0.5,1353,250,0.5261460162066451
0.5,1423,150,0.5259870389939663
0.5,1388,50,0.5259470554475716
0.5,1416,200,0.5258296793385521
0.5,1374,300,0.5257604879605716
0.5,1234,250,0.5255479144799987
0.5,1297,100,0.525424638722555
0.5,1346,200,0.525238173548684
0.5,1311,300,0.5250936344658408
0.5,1395,50,0.5250123540765305
0.5,1318,300,0.5248969962393566
0.5,1255,50,0.5248923293341555
0.5,1430,200,0.5248847266268031
0.5,1346,250,0.5247120149392325
0.5,1318,250,0.5243763074253843
0.5,1416,250,0.5243673961695626
0.5,1360,250,0.5238652017456886
0.5,1430,50,0.5237919628198494
0.5,1234,300,0.5229395433115798
0.5,1262,50,0.5226924771607491
0.5,1311,200,0.5218482542312545
0.5,1290,150,0.5215868923160241
0.5,1311,100,0.5215663442515156
0.5,1360,200,0.5212728683014014
0.5,1353,150,0.5210537038403544
0.5,1325,300,0.5207822230815038
0.5,1325,250,0.5206890362333401
0.5,1283,300,0.5205053389675711
0.5,1353,200,0.5201978329612423
0.5,1339,300,0.5200243504942181
0.5,1360,300,0.5198507778093198
0.5,1360,150,0.5197960403687356
0.5,1234,200,0.5196820670316649
0.5,1318,200,0.5196572633553552
0.5,1304,300,0.5196055673913367
0.5,1339,250,0.5190482035706421
0.5,1241,50,0.5188185958924234
0.5,1311,150,0.518708038851301
0.5,1353,25,0.5179687910242594
0.5,1430,100,0.517819005625211
0.5,1269,100,0.5175754451029319
0.5,1402,50,0.5174247683926291
0.5,1367,100,0.5172863115289792
0.5,1339,200,0.5170564876141379
0.5,1423,25,0.5164843580817792
0.5,1353,100,0.5162616065476096
0.5,1276,300,0.5157365551339117
0.5,1283,150,0.5155444389434993
0.5,1332,150,0.5154292891696866
0.5,1269,50,0.5148388670473635
0.5,1346,100,0.5146145119585288
0.5,1381,300,0.5143296481933148
0.5,1234,150,0.514316987709568
0.5,1283,200,0.5138361481402637
0.5,1318,100,0.5133147134501671
0.5,1409,25,0.5129397804292142
0.5,1430,150,0.5128650631992322
0.5,1276,150,0.5126500360674406
0.5,1423,50,0.5124162243457381
0.5,1283,250,0.5122546004164754
0.5,1297,50,0.5121706608791502
0.5,1381,50,0.5121613040714565
0.5,1339,150,0.5121163819245531
0.5,1360,100,0.5121160408329148
0.5,1402,100,0.5117492652126621
0.5,1325,200,0.5116028611259382
0.5,1416,150,0.5113150667233738
0.5,1332,50,0.5106890209739536
0.5,1241,250,0.5103866601885882
0.5,1381,250,0.5101056007291482
0.5,1423,100,0.5098395265947536
0.5,1255,25,0.5097314314146274
0.5,1318,150,0.5096579192089067
